time_period,geographic_level,region_code,region_name,new_la_code,la_name,entitlement_type,age,number_children,number_eligible_children,percentage_eligible_children,number_children_dis,number_children_sen,percentage_children_sen
2021-01-01,Local authority,E13000001,Inner London,E09000001,City of London,15-hour entitlement,3-year-olds,48,109,44.1,,5,10.4
2021-01-01,Local authority,E12000009,South West,E06000052,Cornwall,15-hour entitlement,3-year-olds,4900,5581,87.8,,107,2.2
2021-01-01,Local authority,E12000001,North East,E06000047,County Durham,15-hour entitlement,3-year-olds,4546,5272,86.2,,201,4.4
2021-01-01,Local authority,E12000005,West Midlands,E08000026,Coventry,15-hour entitlement,3-year-olds,3746,4594,81.5,,118,3.2
2021-01-01,Local authority,E13000002,Outer London,E09000008,Croydon,15-hour entitlement,3-year-olds,4194,5549,75.6,,123,2.9
2021-01-01,Local authority,E12000002,North West,E10000006,Cumbria,15-hour entitlement,3-year-olds,4506,4714,95.6,,141,3.1
2021-01-01,Local authority,E12000001,North East,E06000005,Darlington,15-hour entitlement,3-year-olds,1056,1154,91.5,,39,3.7
2021-01-01,Local authority,E12000004,East Midlands,E06000015,Derby,15-hour entitlement,3-year-olds,2844,3240,87.8,,203,7.1
2021-01-01,Local authority,E12000004,East Midlands,E10000007,Derbyshire,15-hour entitlement,3-year-olds,7109,8110,87.7,,270,3.8
2021-01-01,Local authority,E12000009,South West,E10000008,Devon,15-hour entitlement,3-year-olds,7253,7444,97.4,,235,3.2
2021-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000017,Doncaster,15-hour entitlement,3-year-olds,3173,3669,86.5,,99,3.1
2021-01-01,Local authority,E12000009,South West,E06000059,Dorset,15-hour entitlement,3-year-olds,3097,3212,96.4,,46,1.5
2021-01-01,Local authority,E12000005,West Midlands,E08000027,Dudley,15-hour entitlement,3-year-olds,3155,3844,82.1,,105,3.3
2021-01-01,Local authority,E13000002,Outer London,E09000009,Ealing,15-hour entitlement,3-year-olds,3958,4815,82.2,,260,6.6
2021-01-01,Local authority,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,15-hour entitlement,3-year-olds,3006,3175,94.7,,69,2.3
2021-01-01,Local authority,E12000008,South East,E10000011,East Sussex,15-hour entitlement,3-year-olds,4471,5388,83.0,,104,2.3
2021-01-01,Local authority,E13000002,Outer London,E09000010,Enfield,15-hour entitlement,3-year-olds,3565,4814,74.1,,158,4.4
2021-01-01,Local authority,E12000006,East of England,E10000012,Essex,15-hour entitlement,3-year-olds,15845,17537,90.4,,284,1.8
2021-01-01,Local authority,E12000001,North East,E08000037,Gateshead,15-hour entitlement,3-year-olds,1964,2062,95.3,,88,4.5
2021-01-01,Local authority,E12000009,South West,E10000013,Gloucestershire,15-hour entitlement,3-year-olds,6218,6916,89.9,,38,0.6
2021-01-01,Local authority,E13000002,Outer London,E09000011,Greenwich,15-hour entitlement,3-year-olds,3359,4279,78.5,,262,7.8
2021-01-01,Local authority,E13000001,Inner London,E09000012,Hackney,15-hour entitlement,3-year-olds,3231,3974,81.3,,163,5.0
2021-01-01,Local authority,E12000002,North West,E06000006,Halton,15-hour entitlement,3-year-olds,1310,1526,85.8,,35,2.7
2021-01-01,Local authority,E13000001,Inner London,E09000013,Hammersmith and Fulham,15-hour entitlement,3-year-olds,1569,2226,70.5,,73,4.7
2021-01-01,Local authority,E12000008,South East,E10000014,Hampshire,15-hour entitlement,3-year-olds,14039,14761,95.1,,478,3.4
2021-01-01,Local authority,E13000001,Inner London,E09000014,Haringey,15-hour entitlement,3-year-olds,2479,3495,70.9,,115,4.6
2021-01-01,Local authority,E13000002,Outer London,E09000015,Harrow,15-hour entitlement,3-year-olds,2756,3614,76.3,,110,4.0
2021-01-01,Local authority,E12000001,North East,E06000001,Hartlepool,15-hour entitlement,3-year-olds,976,1031,94.7,,45,4.6
2021-01-01,Local authority,E13000002,Outer London,E09000016,Havering,15-hour entitlement,3-year-olds,2983,3519,84.8,,123,4.1
2021-01-01,Local authority,E12000005,West Midlands,E06000019,"Herefordshire, County of",15-hour entitlement,3-year-olds,1703,1880,90.6,,12,0.7
2021-01-01,Local authority,E12000006,East of England,E10000015,Hertfordshire,15-hour entitlement,3-year-olds,13333,14987,89.0,,547,4.1
2021-01-01,Local authority,E13000002,Outer London,E09000017,Hillingdon,15-hour entitlement,3-year-olds,3427,4483,76.4,,141,4.1
2021-01-01,Local authority,E13000002,Outer London,E09000018,Hounslow,15-hour entitlement,3-year-olds,2945,3907,75.4,,240,8.1
2021-01-01,Local authority,E12000008,South East,E06000046,Isle of Wight,15-hour entitlement,3-year-olds,1132,1219,92.8,,81,7.2
2021-01-01,Local authority,E12000009,South West,E06000053,Isles of Scilly,15-hour entitlement,3-year-olds,13,17,78.2,,1,7.7
2021-01-01,Local authority,E13000001,Inner London,E09000019,Islington,15-hour entitlement,3-year-olds,2052,2613,78.5,,115,5.6
2021-01-01,Local authority,E13000001,Inner London,E09000020,Kensington and Chelsea,15-hour entitlement,3-year-olds,1362,1614,84.4,,62,4.6
2021-01-01,Local authority,E12000008,South East,E10000016,Kent,15-hour entitlement,3-year-olds,16302,18631,87.5,,467,2.9
2021-01-01,Local authority,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",15-hour entitlement,3-year-olds,2864,3386,84.6,,193,6.7
2021-01-01,Local authority,E13000002,Outer London,E09000021,Kingston upon Thames,15-hour entitlement,3-year-olds,1823,2224,82.0,,60,3.3
2021-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000034,Kirklees,15-hour entitlement,3-year-olds,4680,5392,86.8,,146,3.1
2021-01-01,Local authority,E12000002,North West,E08000011,Knowsley,15-hour entitlement,3-year-olds,1926,2083,92.4,,89,4.6
2021-01-01,Local authority,E13000001,Inner London,E09000022,Lambeth,15-hour entitlement,3-year-olds,2939,3593,81.8,,111,3.8
2021-01-01,Local authority,E12000002,North West,E10000017,Lancashire,15-hour entitlement,3-year-olds,12417,13246,93.7,,420,3.4
2021-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000035,Leeds,15-hour entitlement,3-year-olds,9019,10006,90.1,,511,5.7
2021-01-01,Local authority,E12000004,East Midlands,E06000016,Leicester,15-hour entitlement,3-year-olds,3939,4857,81.1,,138,3.5
2021-01-01,Local authority,E12000004,East Midlands,E10000018,Leicestershire,15-hour entitlement,3-year-olds,6669,7520,88.7,,75,1.1
2021-01-01,Local authority,E13000001,Inner London,E09000023,Lewisham,15-hour entitlement,3-year-olds,3298,4235,77.9,,160,4.9
2021-01-01,Local authority,E12000004,East Midlands,E10000019,Lincolnshire,15-hour entitlement,3-year-olds,6953,7780,89.4,,311,4.5
2021-01-01,Local authority,E12000002,North West,E08000012,Liverpool,15-hour entitlement,3-year-olds,5226,5974,87.5,,248,4.7
2021-01-01,Local authority,E12000006,East of England,E06000032,Luton,15-hour entitlement,3-year-olds,2811,3454,81.4,,83,3.0
2021-01-01,Local authority,E12000002,North West,E08000003,Manchester,15-hour entitlement,3-year-olds,6015,7300,82.4,,254,4.2
2021-01-01,Local authority,E12000008,South East,E06000035,Medway,15-hour entitlement,3-year-olds,3187,3689,86.4,,79,2.5
2021-01-01,Local authority,E13000002,Outer London,E09000024,Merton,15-hour entitlement,3-year-olds,2302,2927,78.7,,86,3.7
2021-01-01,Local authority,E12000001,North East,E06000002,Middlesbrough,15-hour entitlement,3-year-olds,1871,1986,94.2,,97,5.2
2021-01-01,Local authority,E12000008,South East,E06000042,Milton Keynes,15-hour entitlement,3-year-olds,3165,3741,84.6,,135,4.3
2021-01-01,Local authority,E12000001,North East,E08000021,Newcastle upon Tyne,15-hour entitlement,3-year-olds,2967,3299,89.9,,218,7.3
2021-01-01,Local authority,E13000001,Inner London,E09000025,Newham,15-hour entitlement,3-year-olds,4058,5407,75.0,,226,5.6
2021-01-01,Local authority,E12000006,East of England,E10000020,Norfolk,15-hour entitlement,3-year-olds,7945,9204,86.3,,165,2.1
2021-01-01,Local authority,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,15-hour entitlement,3-year-olds,1605,1851,86.7,,43,2.7
2021-01-01,Local authority,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,15-hour entitlement,3-year-olds,1555,1839,84.6,,53,3.4
2021-01-01,Local authority,E12000009,South West,E06000024,North Somerset,15-hour entitlement,3-year-olds,2032,2250,90.3,,41,2.0
2021-01-01,Local authority,E12000001,North East,E08000022,North Tyneside,15-hour entitlement,3-year-olds,2175,2295,94.8,,89,4.1
2021-01-01,Local authority,E12000003,Yorkshire and The Humber,E10000023,North Yorkshire,15-hour entitlement,3-year-olds,5469,5926,92.3,,101,1.8
2021-01-01,Local authority,E12000004,East Midlands,E10000021,Northamptonshire,15-hour entitlement,3-year-olds,8235,9431,87.3,,87,1.1
2021-01-01,Local authority,E12000001,North East,E06000057,Northumberland,15-hour entitlement,3-year-olds,3067,3061,100.2,,98,3.2
2021-01-01,Local authority,E12000004,East Midlands,E06000018,Nottingham,15-hour entitlement,3-year-olds,3322,4017,82.7,,95,2.9
2021-01-01,Local authority,E12000004,East Midlands,E10000024,Nottinghamshire,15-hour entitlement,3-year-olds,8486,8955,94.8,,142,1.7
2021-01-01,Local authority,E12000002,North West,E08000004,Oldham,15-hour entitlement,3-year-olds,2920,3336,87.5,,139,4.8
2021-01-01,Local authority,E12000008,South East,E10000025,Oxfordshire,15-hour entitlement,3-year-olds,6884,8039,85.6,,446,6.5
2021-01-01,Local authority,E12000006,East of England,E06000031,Peterborough,15-hour entitlement,3-year-olds,2665,3115,85.5,,99,3.7
2021-01-01,Local authority,E12000009,South West,E06000026,Plymouth,15-hour entitlement,3-year-olds,2521,2881,87.5,,109,4.3
2021-01-01,Local authority,E12000008,South East,E06000044,Portsmouth,15-hour entitlement,3-year-olds,2076,2377,87.3,,41,2.0
2021-01-01,Local authority,E12000008,South East,E06000038,Reading,15-hour entitlement,3-year-olds,1714,2260,75.8,,63,3.7
2021-01-01,Local authority,E13000002,Outer London,E09000026,Redbridge,15-hour entitlement,3-year-olds,3873,4562,84.9,,104,2.7
2021-01-01,Local authority,E12000001,North East,E06000003,Redcar and Cleveland,15-hour entitlement,3-year-olds,1408,1462,96.3,,54,3.8
2021-01-01,Local authority,E13000002,Outer London,E09000027,Richmond upon Thames,15-hour entitlement,3-year-olds,2265,2446,92.6,,29,1.3
2021-01-01,Local authority,E12000002,North West,E08000005,Rochdale,15-hour entitlement,3-year-olds,2617,3062,85.5,,144,5.5
2021-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000018,Rotherham,15-hour entitlement,3-year-olds,2843,3138,90.6,,169,5.9
2021-01-01,Local authority,E12000004,East Midlands,E06000017,Rutland,15-hour entitlement,3-year-olds,335,390,85.9,,16,4.8
2021-01-01,Local authority,E12000002,North West,E08000006,Salford,15-hour entitlement,3-year-olds,3129,3516,89.0,,212,6.8
2021-01-01,Local authority,E12000005,West Midlands,E08000028,Sandwell,15-hour entitlement,3-year-olds,4032,4693,85.9,,149,3.7
2021-01-01,Local authority,E12000002,North West,E08000014,Sefton,15-hour entitlement,3-year-olds,2644,2834,93.3,,75,2.8
2021-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000019,Sheffield,15-hour entitlement,3-year-olds,5894,6568,89.7,,273,4.6
2021-01-01,Local authority,E12000005,West Midlands,E06000051,Shropshire,15-hour entitlement,3-year-olds,2920,3086,94.6,,44,1.5
2021-01-01,Local authority,E12000008,South East,E06000039,Slough,15-hour entitlement,3-year-olds,2002,2556,78.3,,99,4.9
2021-01-01,Local authority,E12000005,West Midlands,E08000029,Solihull,15-hour entitlement,3-year-olds,2473,2484,99.6,,98,4.0
2021-01-01,Local authority,E12000009,South West,E10000027,Somerset,15-hour entitlement,3-year-olds,5091,5741,88.7,,27,0.5
2021-01-01,Local authority,E12000009,South West,E06000025,South Gloucestershire,15-hour entitlement,3-year-olds,3134,3359,93.3,,38,1.2
2021-01-01,Local authority,E12000001,North East,E08000023,South Tyneside,15-hour entitlement,3-year-olds,1482,1669,88.8,,131,8.8
2021-01-01,Local authority,E12000008,South East,E06000045,Southampton,15-hour entitlement,3-year-olds,2485,3053,81.4,,35,1.4
2021-01-01,Local authority,E12000006,East of England,E06000033,Southend-on-Sea,15-hour entitlement,3-year-olds,1882,2247,83.8,,80,4.3
2021-01-01,Local authority,E13000001,Inner London,E09000028,Southwark,15-hour entitlement,3-year-olds,2923,3933,74.3,,161,5.5
2021-01-01,Local authority,E12000002,North West,E08000013,St. Helens,15-hour entitlement,3-year-olds,1832,2066,88.7,,65,3.5
2021-01-01,Local authority,E12000005,West Midlands,E10000028,Staffordshire,15-hour entitlement,3-year-olds,8484,9075,93.5,,288,3.4
2021-01-01,Local authority,E12000002,North West,E08000007,Stockport,15-hour entitlement,3-year-olds,3229,3471,93.0,,104,3.2
2021-01-01,Local authority,E12000001,North East,E06000004,Stockton-on-Tees,15-hour entitlement,3-year-olds,2201,2282,96.5,,64,2.9
2021-01-01,Local authority,E12000005,West Midlands,E06000021,Stoke-on-Trent,15-hour entitlement,3-year-olds,2575,3299,78.1,,183,7.1
2021-01-01,Local authority,E12000006,East of England,E10000029,Suffolk,15-hour entitlement,3-year-olds,6755,7970,84.8,,171,2.5
2021-01-01,Local authority,E12000001,North East,E08000024,Sunderland,15-hour entitlement,3-year-olds,2791,3012,92.7,,202,7.2
2021-01-01,Local authority,E12000008,South East,E10000030,Surrey,15-hour entitlement,3-year-olds,12269,14020,87.5,,956,7.8
2021-01-01,Local authority,E13000002,Outer London,E09000029,Sutton,15-hour entitlement,3-year-olds,2178,2701,80.6,,101,4.6
2021-01-01,Local authority,E12000009,South West,E06000030,Swindon,15-hour entitlement,3-year-olds,2670,2876,92.8,,66,2.5
2021-01-01,Local authority,E12000002,North West,E08000008,Tameside,15-hour entitlement,3-year-olds,2585,2875,89.9,,131,5.1
2021-01-01,Local authority,E12000005,West Midlands,E06000020,Telford and Wrekin,15-hour entitlement,3-year-olds,2010,2226,90.3,,108,5.4
2021-01-01,Local authority,E12000006,East of England,E06000034,Thurrock,15-hour entitlement,3-year-olds,1868,2690,69.4,,68,3.6
2021-01-01,Local authority,E12000009,South West,E06000027,Torbay,15-hour entitlement,3-year-olds,1234,1311,94.1,,88,7.1
2021-01-01,Local authority,E13000001,Inner London,E09000030,Tower Hamlets,15-hour entitlement,3-year-olds,3049,4487,67.9,,179,5.9
2021-01-01,Local authority,E12000002,North West,E08000009,Trafford,15-hour entitlement,3-year-olds,2730,2914,93.7,,104,3.8
2021-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000036,Wakefield,15-hour entitlement,3-year-olds,3822,4387,87.1,,146,3.8
2021-01-01,Local authority,E12000005,West Midlands,E08000030,Walsall,15-hour entitlement,3-year-olds,3296,3962,83.2,,202,6.1
2021-01-01,Local authority,E13000002,Outer London,E09000031,Waltham Forest,15-hour entitlement,3-year-olds,3102,4221,73.5,,179,5.8
2021-01-01,Local authority,E13000001,Inner London,E09000032,Wandsworth,15-hour entitlement,3-year-olds,3421,4156,82.3,,114,3.3
2021-01-01,Local authority,E12000002,North West,E06000007,Warrington,15-hour entitlement,3-year-olds,2113,2296,92.0,,67,3.2
2021-01-01,Local authority,E12000005,West Midlands,E10000031,Warwickshire,15-hour entitlement,3-year-olds,6003,6525,92.0,,123,2.0
2021-01-01,Local authority,E12000008,South East,E06000037,West Berkshire,15-hour entitlement,3-year-olds,1678,1791,93.7,,26,1.5
2021-01-01,Local authority,E12000008,South East,E10000032,West Sussex,15-hour entitlement,3-year-olds,8558,9324,91.8,,273,3.2
2021-01-01,Local authority,E13000001,Inner London,E09000033,Westminster,15-hour entitlement,3-year-olds,1304,2835,46.0,,86,6.6
2021-01-01,Local authority,E12000002,North West,E08000010,Wigan,15-hour entitlement,3-year-olds,3394,3770,90.0,,76,2.2
2021-01-01,Local authority,E12000009,South West,E06000054,Wiltshire,15-hour entitlement,3-year-olds,5026,5384,93.4,,210,4.2
2021-01-01,Local authority,E12000008,South East,E06000040,Windsor and Maidenhead,15-hour entitlement,3-year-olds,1585,1738,91.2,,31,2.0
2021-01-01,Local authority,E12000002,North West,E08000015,Wirral,15-hour entitlement,3-year-olds,3255,3533,92.1,,160,4.9
2021-01-01,Local authority,E12000008,South East,E06000041,Wokingham,15-hour entitlement,3-year-olds,1944,2030,95.7,,78,4.0
2021-01-01,Local authority,E12000005,West Midlands,E08000031,Wolverhampton,15-hour entitlement,3-year-olds,2895,3568,81.1,,120,4.1
2021-01-01,Local authority,E12000005,West Midlands,E10000034,Worcestershire,15-hour entitlement,3-year-olds,5728,6317,90.7,,497,8.7
2021-01-01,Local authority,E12000003,Yorkshire and The Humber,E06000014,York,15-hour entitlement,3-year-olds,1742,1900,91.7,,38,2.2
2022-01-01,Local authority,E13000002,Outer London,E09000002,Barking and Dagenham,15-hour entitlement,3-year-olds,3034,3712,81.7,,140,4.6
2022-01-01,Local authority,E13000002,Outer London,E09000003,Barnet,15-hour entitlement,3-year-olds,4103,5144,79.8,,163,4.0
2022-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000016,Barnsley,15-hour entitlement,3-year-olds,2539,2740,92.7,,118,4.6
2022-01-01,Local authority,E12000009,South West,E06000022,Bath and North East Somerset,15-hour entitlement,3-year-olds,1762,1910,92.3,,137,7.8
2022-01-01,Local authority,E12000006,East of England,E06000055,Bedford,15-hour entitlement,3-year-olds,2105,2287,92.0,,56,2.7
2022-01-01,Local authority,E13000002,Outer London,E09000004,Bexley,15-hour entitlement,3-year-olds,2735,3152,86.8,,101,3.7
2022-01-01,Local authority,E12000005,West Midlands,E08000025,Birmingham,15-hour entitlement,3-year-olds,13294,15905,83.6,,1134,8.5
2022-01-01,Local authority,E12000002,North West,E06000008,Blackburn with Darwen,15-hour entitlement,3-year-olds,1853,1994,92.9,,143,7.7
2022-01-01,Local authority,E12000002,North West,E06000009,Blackpool,15-hour entitlement,3-year-olds,1328,1595,83.3,,116,8.7
2022-01-01,Local authority,E12000002,North West,E08000001,Bolton,15-hour entitlement,3-year-olds,3477,3679,94.5,,170,4.9
2022-01-01,Local authority,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",15-hour entitlement,3-year-olds,3512,3886,90.4,,235,6.7
2022-01-01,Local authority,E12000008,South East,E06000036,Bracknell Forest,15-hour entitlement,3-year-olds,1315,1446,90.9,,18,1.4
2022-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000032,Bradford,15-hour entitlement,3-year-olds,6606,7427,88.9,,259,3.9
2022-01-01,Local authority,E13000002,Outer London,E09000005,Brent,15-hour entitlement,3-year-olds,3280,4542,72.2,,288,8.8
2022-01-01,Local authority,E12000008,South East,E06000043,Brighton and Hove,15-hour entitlement,3-year-olds,2425,2595,93.4,,110,4.5
2022-01-01,Local authority,E12000009,South West,E06000023,"Bristol, City of",15-hour entitlement,3-year-olds,4801,5468,87.8,,293,6.1
2022-01-01,Local authority,E13000002,Outer London,E09000006,Bromley,15-hour entitlement,3-year-olds,3542,4201,84.3,,186,5.3
2022-01-01,Local authority,E12000008,South East,E06000060,Buckinghamshire,15-hour entitlement,3-year-olds,5963,6333,94.2,,387,6.5
2022-01-01,Local authority,E12000002,North West,E08000002,Bury,15-hour entitlement,3-year-olds,2049,2263,90.5,,114,5.6
2022-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000033,Calderdale,15-hour entitlement,3-year-olds,2345,2329,100.7,,156,6.7
2022-01-01,Local authority,E12000006,East of England,E10000003,Cambridgeshire,15-hour entitlement,3-year-olds,6690,7182,93.2,,108,1.6
2022-01-01,Local authority,E13000001,Inner London,E09000007,Camden,15-hour entitlement,3-year-olds,1596,2766,57.7,,148,9.3
2022-01-01,Local authority,E12000006,East of England,E06000056,Central Bedfordshire,15-hour entitlement,3-year-olds,3545,3504,101.2,,176,5.0
2022-01-01,Local authority,E12000002,North West,E06000049,Cheshire East,15-hour entitlement,3-year-olds,3889,4000,97.2,,76,2.0
2022-01-01,Local authority,E12000002,North West,E06000050,Cheshire West and Chester,15-hour entitlement,3-year-olds,3440,3683,93.4,,111,3.2
2022-01-01,Local authority,E13000001,Inner London,E09000001,City of London,15-hour entitlement,3-year-olds,53,97,54.6,,4,7.5
2022-01-01,Local authority,E12000009,South West,E06000052,Cornwall,15-hour entitlement,3-year-olds,4993,5506,90.7,,152,3.0
2022-01-01,Local authority,E12000001,North East,E06000047,County Durham,15-hour entitlement,3-year-olds,4837,5153,93.9,,272,5.6
2022-01-01,Local authority,E12000005,West Midlands,E08000026,Coventry,15-hour entitlement,3-year-olds,3745,4642,80.7,,148,4.0
2022-01-01,Local authority,E13000002,Outer London,E09000008,Croydon,15-hour entitlement,3-year-olds,4156,5225,79.5,,89,2.1
2022-01-01,Local authority,E12000002,North West,E10000006,Cumbria,15-hour entitlement,3-year-olds,4508,4506,100.0,,166,3.7
2022-01-01,Local authority,E12000001,North East,E06000005,Darlington,15-hour entitlement,3-year-olds,1094,1113,98.3,,61,5.6
2022-01-01,Local authority,E12000004,East Midlands,E06000015,Derby,15-hour entitlement,3-year-olds,2928,3144,93.1,,252,8.6
2022-01-01,Local authority,E12000004,East Midlands,E10000007,Derbyshire,15-hour entitlement,3-year-olds,7180,7861,91.3,,285,4.0
2022-01-01,Local authority,E12000009,South West,E10000008,Devon,15-hour entitlement,3-year-olds,7343,7335,100.1,,315,4.3
2022-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000017,Doncaster,15-hour entitlement,3-year-olds,3218,3528,91.2,,161,5.0
2022-01-01,Local authority,E12000009,South West,E06000059,Dorset,15-hour entitlement,3-year-olds,2981,3110,95.8,,53,1.8
2022-01-01,Local authority,E12000005,West Midlands,E08000027,Dudley,15-hour entitlement,3-year-olds,3311,3728,88.8,,140,4.2
2022-01-01,Local authority,E13000002,Outer London,E09000009,Ealing,15-hour entitlement,3-year-olds,3894,4472,87.1,,313,8.0
2022-01-01,Local authority,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,15-hour entitlement,3-year-olds,3107,3019,102.9,,63,2.0
2022-01-01,Local authority,E12000008,South East,E10000011,East Sussex,15-hour entitlement,3-year-olds,4917,5260,93.5,,124,2.5
2022-01-01,Local authority,E13000002,Outer London,E09000010,Enfield,15-hour entitlement,3-year-olds,3593,4588,78.3,,245,6.8
2022-01-01,Local authority,E12000006,East of England,E10000012,Essex,15-hour entitlement,3-year-olds,16348,16898,96.7,,208,1.3
2022-01-01,Local authority,E12000001,North East,E08000037,Gateshead,15-hour entitlement,3-year-olds,1880,1973,95.3,,96,5.1
2022-01-01,Local authority,E12000009,South West,E10000013,Gloucestershire,15-hour entitlement,3-year-olds,6399,6807,94.0,,43,0.7
2022-01-01,Local authority,E13000002,Outer London,E09000011,Greenwich,15-hour entitlement,3-year-olds,3345,4179,80.1,,292,8.7
2022-01-01,Local authority,E13000001,Inner London,E09000012,Hackney,15-hour entitlement,3-year-olds,3212,3823,84.0,,230,7.2
2022-01-01,Local authority,E12000002,North West,E06000006,Halton,15-hour entitlement,3-year-olds,1255,1468,85.5,,62,4.9
2022-01-01,Local authority,E13000001,Inner London,E09000013,Hammersmith and Fulham,15-hour entitlement,3-year-olds,1539,2172,70.9,,117,7.6
2022-01-01,Local authority,E12000008,South East,E10000014,Hampshire,15-hour entitlement,3-year-olds,14067,14269,98.6,,686,4.9
2022-01-01,Local authority,E13000001,Inner London,E09000014,Haringey,15-hour entitlement,3-year-olds,2549,3401,75.0,,154,6.0
2022-01-01,Local authority,E13000002,Outer London,E09000015,Harrow,15-hour entitlement,3-year-olds,2807,3389,82.8,,143,5.1
2022-01-01,Local authority,E12000001,North East,E06000001,Hartlepool,15-hour entitlement,3-year-olds,1025,999,102.6,,62,6.0
2022-01-01,Local authority,E13000002,Outer London,E09000016,Havering,15-hour entitlement,3-year-olds,3103,3408,91.0,,123,4.0
2022-01-01,Local authority,E12000005,West Midlands,E06000019,"Herefordshire, County of",15-hour entitlement,3-year-olds,1698,1864,91.1,,38,2.2
2022-01-01,Local authority,E12000006,East of England,E10000015,Hertfordshire,15-hour entitlement,3-year-olds,13404,14317,93.6,,548,4.1
2022-01-01,Local authority,E13000002,Outer London,E09000017,Hillingdon,15-hour entitlement,3-year-olds,3540,4286,82.6,,160,4.5
2022-01-01,Local authority,E13000002,Outer London,E09000018,Hounslow,15-hour entitlement,3-year-olds,3079,3738,82.4,,297,9.6
2022-01-01,Local authority,E12000008,South East,E06000046,Isle of Wight,15-hour entitlement,3-year-olds,1053,1204,87.5,,17,1.6
2022-01-01,Local authority,E12000009,South West,E06000053,Isles of Scilly,15-hour entitlement,3-year-olds,23,20,117.3,,1,4.3
2022-01-01,Local authority,E13000001,Inner London,E09000019,Islington,15-hour entitlement,3-year-olds,1952,2480,78.7,,111,5.7
2022-01-01,Local authority,E13000001,Inner London,E09000020,Kensington and Chelsea,15-hour entitlement,3-year-olds,1369,1504,91.0,,76,5.6
2022-01-01,Local authority,E12000008,South East,E10000016,Kent,15-hour entitlement,3-year-olds,16866,18086,93.3,,478,2.8
2022-01-01,Local authority,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",15-hour entitlement,3-year-olds,2862,3220,88.9,,195,6.8
2022-01-01,Local authority,E13000002,Outer London,E09000021,Kingston upon Thames,15-hour entitlement,3-year-olds,1814,2101,86.3,,69,3.8
2022-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000034,Kirklees,15-hour entitlement,3-year-olds,4599,5224,88.0,,159,3.5
2022-01-01,Local authority,E12000002,North West,E08000011,Knowsley,15-hour entitlement,3-year-olds,2014,1973,102.1,,117,5.8
2022-01-01,Local authority,E13000001,Inner London,E09000022,Lambeth,15-hour entitlement,3-year-olds,2809,3571,78.7,,143,5.1
2022-01-01,Local authority,E12000002,North West,E10000017,Lancashire,15-hour entitlement,3-year-olds,12390,12889,96.1,,540,4.4
2022-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000035,Leeds,15-hour entitlement,3-year-olds,9131,9666,94.5,,608,6.7
2022-01-01,Local authority,E12000004,East Midlands,E06000016,Leicester,15-hour entitlement,3-year-olds,3944,4752,83.0,,152,3.9
2022-01-01,Local authority,E12000004,East Midlands,E10000018,Leicestershire,15-hour entitlement,3-year-olds,6815,7421,91.8,,62,0.9
2022-01-01,Local authority,E13000001,Inner London,E09000023,Lewisham,15-hour entitlement,3-year-olds,3166,4083,77.5,,157,5.0
2022-01-01,Local authority,E12000004,East Midlands,E10000019,Lincolnshire,15-hour entitlement,3-year-olds,6795,7723,88.0,,361,5.3
2022-01-01,Local authority,E12000002,North West,E08000012,Liverpool,15-hour entitlement,3-year-olds,5360,5874,91.2,,326,6.1
2022-01-01,Local authority,E12000006,East of England,E06000032,Luton,15-hour entitlement,3-year-olds,2835,3221,88.0,,74,2.6
2022-01-01,Local authority,E12000002,North West,E08000003,Manchester,15-hour entitlement,3-year-olds,6129,7118,86.1,,367,6.0
2022-01-01,Local authority,E12000008,South East,E06000035,Medway,15-hour entitlement,3-year-olds,3271,3539,92.4,,89,2.7
2022-01-01,Local authority,E13000002,Outer London,E09000024,Merton,15-hour entitlement,3-year-olds,2310,2719,85.0,,150,6.5
2022-01-01,Local authority,E12000001,North East,E06000002,Middlesbrough,15-hour entitlement,3-year-olds,1831,1839,99.6,,136,7.4
2022-01-01,Local authority,E12000008,South East,E06000042,Milton Keynes,15-hour entitlement,3-year-olds,3409,3595,94.8,,96,2.8
2022-01-01,Local authority,E12000001,North East,E08000021,Newcastle upon Tyne,15-hour entitlement,3-year-olds,2993,3289,91.0,,227,7.6
2022-01-01,Local authority,E13000001,Inner London,E09000025,Newham,15-hour entitlement,3-year-olds,4283,5243,81.7,,247,5.8
