time_period,geographic_level,region_code,region_name,new_la_code,la_name,entitlement_type,age,number_children,number_eligible_children,percentage_eligible_children,number_children_dis,number_children_sen,percentage_children_sen
2020-01-01,Local authority,E13000002,Outer London,E09000008,Croydon,15-hour entitlement,3-year-olds,4692,5711,82.2,,138,2.9
2020-01-01,Local authority,E12000002,North West,E10000006,Cumbria,15-hour entitlement,3-year-olds,4913,4944,99.4,,207,4.2
2020-01-01,Local authority,E12000001,North East,E06000005,Darlington,15-hour entitlement,3-year-olds,1085,1174,92.4,,60,5.5
2020-01-01,Local authority,E12000004,East Midlands,E06000015,Derby,15-hour entitlement,3-year-olds,3115,3334,93.4,,189,6.1
2020-01-01,Local authority,E12000004,East Midlands,E10000007,Derbyshire,15-hour entitlement,3-year-olds,7785,8284,94.0,,336,4.3
2020-01-01,Local authority,E12000009,South West,E10000008,Devon,15-hour entitlement,3-year-olds,7607,7657,99.3,,279,3.7
2020-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000017,Doncaster,15-hour entitlement,3-year-olds,3358,3691,91.0,,120,3.6
2020-01-01,Local authority,E12000009,South West,E06000059,Dorset,15-hour entitlement,3-year-olds,3124,3337,93.6,,70,2.2
2020-01-01,Local authority,E12000005,West Midlands,E08000027,Dudley,15-hour entitlement,3-year-olds,3564,3871,92.1,,154,4.3
2020-01-01,Local authority,E13000002,Outer London,E09000009,Ealing,15-hour entitlement,3-year-olds,4241,4924,86.1,,271,6.4
2020-01-01,Local authority,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,15-hour entitlement,3-year-olds,3255,3211,101.4,,82,2.5
2020-01-01,Local authority,E12000008,South East,E10000011,East Sussex,15-hour entitlement,3-year-olds,5217,5508,94.7,,146,2.8
2020-01-01,Local authority,E13000002,Outer London,E09000010,Enfield,15-hour entitlement,3-year-olds,3994,4901,81.5,,190,4.8
